time,ia,ib,ic,PClimit,Tlevel
0,20,20,20,5,1.0
1,20,20,20,5,1.0
2,20,20,20,5,1.0
3,20,20,20,5,1.0
4,20,20,20,5,1.0
5,20,20,20,5,1.0
6,20,20,20,5,1.0
7,20,20,20,5,1.0
8,20,20,20,5,1.0
9,20,20,20,5,1.0
10,20,20,20,5,1.0
11,20,20,20,5,1.0
12,20,20,20,5,1.0
13,20,20,20,5,1.0
14,20,20,20,5,1.0
15,20,20,20,5,1.0
16,20,20,20,5,1.0
17,20,20,20,5,1.0
18,20,20,20,5,1.0
19,20,20,20,5,1.0
20,20,20,20,5,1.0
21,20,20,20,5,1.0
22,20,20,20,5,1.0
23,20,20,20,5,1.0
24,20,20,20,5,1.0
25,20,20,20,5,1.0
26,20,20,20,5,1.0
27,20,20,20,5,1.0
28,20,20,20,5,1.0
29,20,20,20,5,1.0
30,20,20,20,5,1.0



